!ENTER	[] sil
!EXIT	[] sil
sil		sil 
chaak0aauuMMxxLL	ch aa k0 aa uu mm xx ll sp
chaak0aauuNN	ch aa k0 aa uu nn sp
chaalloo	ch aa ll oo sp
chaallxxLL	ch aa ll xx ll sp
chaangc0ooc0vvK0	ch aa ng c0 oo c0 vv k0 sp
chaangc0oohhaak0oo	ch aa ng c0 oo hh aa k0 oo sp
chaawvNNii	ch aa wv nn ii sp
chee	ch ee sp
cheehhaaNNt0aa	ch ee hh aa nn t0 aa sp
cheehheeSSt0aa	ch ee hh ee t0 tt aa sp
cheehhvvMMmmaaNNxxlloossvv	ch ee hh vv mm mm aa nn xx ll oo ss vv sp
cheehhvvMMxxLL	ch ee hh vv mm xx ll sp
cheehhvvMMxxlloo	ch ee hh vv mm xx ll oo sp
cheehhvvMMxxlloossvv	ch ee hh vv mm xx ll oo ss vv sp
cheelloo	ch ee ll oo sp
cheemmaaNNs0iiK0xxNN	ch ee mm aa nn s0 ii k0 xx nn sp
cheennyvMMhhaaLL	ch ee nn yv mm hh aa ll sp
cheeyvngs0iiNNii	ch ee yv ng s0 ii nn ii sp
cheeyvngs0iiNNiillaaNN	ch ee yv ng s0 ii nn ii ll aa nn sp
cheeyvngs0iiNNk0wa	ch ee yv ng s0 ii nn k0 wa sp
chiiLLhhaaNN	ch ii ll hh aa nn sp
chiiMMmmuuK0hhaaNN	ch ii mm mm uu kh aa nn sp
chiiNNk0uueek0ee	ch ii nn k0 uu ee k0 ee sp
chiic0aanghhee	ch ii c0 aa ng hh ee sp
chiiiik0oo	ch ii ii k0 oo sp
chiillvvya	ch ii ll vv ya sp
chooc0oohhaaLL	ch oo c0 oo hh aa ll sp
choohhyvNNs0iiLLc0vvK0iiNN	ch oo hh yv nn s0 ii ll c0 vv k0 ii nn sp
chook0aac0iiP0	ch oo k0 aa c0 ii p0 sp
choongcheec0vvK0iiNN	ch oo ng ch ee c0 vv k0 ii nn sp
choop0ooc0vvK0iiyo	ch oo p0 oo c0 vv k0 ii yo sp
choop0vvLL	ch oo p0 vv ll sp
choos0iinnee	ch oo s0 ii nn ee sp
chuuK0c0vvK0iiyo	ch uu k0 cc vv k0 ii yo sp
chuuNNhhyangiinnaa	ch uu nn hh ya ng ii nn aa sp
chuuhhaaNN	ch uu hh aa nn sp
chuuk0uuhhaak0ee	ch uu k0 uu hh aa k0 ee sp
chuuk0uuhhaak0ii	ch uu k0 uu hh aa k0 ii sp
chuuk0uuhhaak0iit0oo	ch uu k0 uu hh aa k0 ii t0 oo sp
chuuk0uuhhaammyvNNs0vv	ch uu k0 uu hh aa mm yv nn s0 vv sp
chuuk0uuhhaannxxNN	ch uu k0 uu hh aa nn xx nn sp
chuuk0uuhhaayv	ch uu k0 uu hh aa yv sp
chuungp0uuNNhhii	ch uu ng p0 uu nn hh ii sp
chuunnyvllxxLL	ch uu nn yv ll xx ll sp
chvvNNchvvNNhhaaNN	ch vv nn ch vv nn hh aa nn sp
chvvNNchvvNNhhii	ch vv nn ch vv nn hh ii sp
chvvngchvvnghhaaNN	ch vv ng ch vv ng hh aa nn sp
chvvngllyanghhaaNN	ch vv ng nn ya ng hh aa nn sp
chvvngllyanglliiyvK0xxlloo	ch vv ng nn ya ng nn ii yv k0 xx ll oo sp
chvvngnnyvNNt0xxLLii	ch vv ng nn yv nn t0 xx ll ii sp
chvvngs0ooLLk0aac0iillxxLL	ch vv ng s0 oo ll k0 aa c0 ii ll xx ll sp
chvvxxMMeennxxNN	ch vv xx mm ee nn xx nn sp
chweyongs0iiNNiillaannxxNN	ch we yo ng s0 ii nn ii ll aa nn xx nn sp
chxxK0mmyvNNees0vv	ch xx ng mm yv nn ee s0 vv sp
eeK0cheek0aa	ee k0 ch ee k0 aa sp
eeS0t0weNN	ee t0 tt we nn sp
eessxxnnxxNN	ee ss xx nn xx nn sp
eet0xxLLii	ee t0 xx ll ii sp
